benchmark,cnf,pb,blif,aig
c6288,0.5,0.3,0.1,0.0
c7552,0.2,0.2,0.1,0.0
s13207,0.4,0.5,0.2,0.1
s15850,0.5,0.5,0.2,0.1
s35932,1.2,1.5,0.6,0.2
s38417,1.5,1.5,0.6,0.2
s38584,1.5,1.5,0.6,0.2
b14,1.2,0.7,0.3,0.1
b15,1.6,1.2,0.5,0.1
b17,6.5,4.1,1.8,0.4
b18,18.8,11.3,5.2,1.1
b19,39.0,22.7,10.4,2.2
b20,2.4,1.5,0.7,0.1
b21,2.9,1.5,0.7,0.1
b22,4.1,2.2,1.0,0.2
