benchmark,cnf,pb,blif,aig
c6288,0.4,0.3,0.1,0.0
c7552,0.2,0.2,0.1,0.0
s13207,0.4,0.5,0.2,0.1
s15850,0.5,0.5,0.2,0.1
s35932,1.2,1.5,0.6,0.2
s38417,1.4,1.5,0.6,0.2
s38584,1.5,1.5,0.6,0.2
b14,0.8,0.7,0.3,0.1
b15,1.4,1.2,0.5,0.1
b17,4.7,3.7,1.5,0.4
b18,13.8,10.3,4.3,1.1
b19,29.0,20.7,8.7,2.2
b20,2.0,1.4,0.6,0.1
b21,2.0,1.4,0.6,0.1
b22,3.1,2.1,0.9,0.2
