,c_npg,c_pg,s_npg,s_pg,t_npg,t_pg
b14,5734.0,4153.0,450209.0,316624.0,0.5022318363189697,0.31372904777526855
b15,8060.0,5713.0,734125.0,496571.0,0.7357728481292725,0.5374453067779541
b17,26762.0,18090.0,2625646.0,1733942.0,1.9549665451049805,1.5568287372589111
b18,79472.0,54593.0,7642245.0,5160572.0,5.942369222640991,4.054069995880127
b19,161256.0,111547.0,15548701.0,10539034.0,13.772349119186401,9.232903480529785
b20,11862.0,8683.0,1018736.0,722862.0,0.9768702983856201,0.7600586414337158
b21,12076.0,8695.0,1106645.0,781547.0,1.203597068786621,0.7995004653930664
b22,18146.0,13248.0,1649617.0,1173752.0,1.462174415588379,0.9344913959503174
