,c_npg,c_pg,s_npg,s_pg,t_npg,t_pg
b14,5078.0,3697.0,313336.0,219362.0,0.292624,0.190692
b15,7278.0,5189.0,553188.0,374596.0,0.496452,0.23774
b17,23990.0,16426.0,1988239.0,1305119.0,1.35475,0.951706
b18,70254.0,48837.0,6237091.0,4075424.0,3.82254,2.50208
b19,140666.0,97864.0,12728009.0,8372070.0,8.03561,5.25247
b20,10456.0,7648.0,685086.0,486597.0,0.586679,0.31256
b21,10660.0,7753.0,706337.0,498297.0,0.615619,0.313855
b22,15896.0,11662.0,1058656.0,754738.0,0.83194,0.460925
