,c_npg,c_pg,s_npg,s_pg,t_npg,t_pg
b14,5734.0,4153.0,450266.0,316697.0,0.5092861652374268,0.273540735244751
b15,8000.0,5683.0,732285.0,495770.0,0.748286247253418,0.5230481624603271
b17,26648.0,18033.0,2621443.0,1732274.0,2.1265337467193604,1.4900193214416504
b18,79122.0,54418.0,7630062.0,5155526.0,5.641789674758911,4.222317218780518
b19,160558.0,111198.0,15523681.0,10528490.0,12.353829860687256,8.457155466079712
b20,11862.0,8683.0,1018754.0,722906.0,0.7746949195861816,0.5569677352905273
b21,12076.0,8695.0,1106673.0,781606.0,0.8543999195098877,0.774712324142456
b22,18146.0,13248.0,1649709.0,1173883.0,1.4249162673950195,1.0728733539581299
